PolicyNumber;Gender;DrivAge;State;ClaimNb;HadRob;HadPartColl;HadTotColl;HadFire;HadOther;VehYear_Class;Region;VehGroup_bin;ClaimAmountNormalized
626891;Female;18-25;Bahia;0;0;0;0;0;0;2004-2007;Nord-Est;Citadine;0.0
1879683;Female;>55;Santa Catarina;0;0;0;0;0;0;2007-2010;Sud;Véhicules utilitaires;0.0
1060673;Female;36-45;Sao Paulo;3;0;1;0;0;0;2007-2010;Sud-Est;Breaks et monospaces;811.3333333333334
1330554;Male;26-35;Parana;0;0;0;0;0;0;2001-2004;Sud;Compactes;0.0
38701;Male;>55;Santa Catarina;0;0;0;0;0;0;2004-2007;Sud;Compactes;0.0
1526134;Corporate;36-45;Rio Grande do Norte;0;0;0;0;0;0;2007-2010;Nord-Est;Véhicules utilitaires;0.0
283848;Female;>55;Sao Paulo;0;0;0;0;0;0;2007-2010;Sud-Est;Compactes;0.0
798584;Male;36-45;Mato Grosso do Sul;0;0;0;0;0;0;1995-1998;Centre-Ouest;Citadine;0.0
1850454;Corporate;36-45;Minas Gerais;0;0;0;0;0;0;<1995;Sud-Est;Non classifié;0.0
1924843;Male;26-35;Santa Catarina;0;0;0;0;0;0;2001-2004;Sud;Citadine;0.0
546224;Corporate;36-45;Rio de Janeiro;0;0;0;0;0;0;2007-2010;Sud-Est;Compactes;0.0
1433601;Male;46-55;Minas Gerais;1;0;0;0;0;1;2007-2010;Sud-Est;Véhicules utilitaires;398.0
64443;Male;26-35;Santa Catarina;0;0;0;0;0;0;2007-2010;Sud;Citadine;0.0
785540;Corporate;36-45;Mato Grosso;0;0;0;0;0;0;2001-2004;Centre-Ouest;Citadine;0.0
692970;Male;26-35;Alagoas;0;0;0;0;0;0;2007-2010;Nord-Est;Compactes;0.0
1208087;Female;46-55;Mato Grosso do Sul;0;0;0;0;0;0;2010-2013;Centre-Ouest;Citadine;0.0
485653;Corporate;26-35;Minas Gerais;0;0;0;0;0;0;2007-2010;Sud-Est;Compactes;0.0
1432808;Corporate;46-55;Minas Gerais;0;0;0;0;0;0;2001-2004;Sud-Est;Véhicules utilitaires;0.0
50124;Female;46-55;Rio Grande do Sul;0;0;0;0;0;0;1998-2001;Sud;Berlines;0.0
356589;Female;26-35;Sao Paulo;0;0;0;0;0;0;2004-2007;Sud-Est;Compactes;0.0
467746;Male;>55;Minas Gerais;1;0;1;0;0;0;2007-2010;Sud-Est;Compactes;12027.0
1131642;Female;26-35;Rio de Janeiro;0;0;0;0;0;0;2001-2004;Sud-Est;Breaks et monospaces;0.0
1802812;Female;46-55;Maranhao;0;0;0;0;0;0;2010-2013;Nord-Est;Citadine;0.0
1175923;Male;46-55;Alagoas;0;0;0;0;0;0;2010-2013;Nord-Est;Citadine;0.0
1099049;Male;36-45;Minas Gerais;0;0;0;0;0;0;2007-2010;Sud-Est;Compactes;0.0
321190;Male;36-45;Sao Paulo;1;0;1;0;0;0;1995-1998;Sud-Est;Citadine;2630.0
1045316;Female;>55;Sao Paulo;0;0;0;0;0;0;2001-2004;Sud-Est;Compactes;0.0
1942583;Male;26-35;Rio Grande do Sul;0;0;0;0;0;0;<1995;Sud;Non classifié;0.0
336781;Male;26-35;Sao Paulo;0;0;0;0;0;0;2007-2010;Sud-Est;Compactes;0.0
58761;Female;26-35;Santa Catarina;0;0;0;0;0;0;2007-2010;Sud;Compactes;0.0
1241709;Male;36-45;Rio Grande do Sul;1;0;1;0;0;0;2010-2013;Sud;Véhicules utilitaires;2078.0
1110899;Male;46-55;Rio de Janeiro;0;0;0;0;0;0;2010-2013;Sud-Est;Citadine;0.0
500832;Female;>55;Minas Gerais;0;0;0;0;0;0;2004-2007;Sud-Est;Compactes;0.0
949905;Female;36-45;Parana;0;0;0;0;0;0;2007-2010;Sud;Compactes;0.0
865700;Male;36-45;Tocantins;0;0;0;0;0;0;2004-2007;Nord;Compactes;0.0
108499;Female;36-45;Santa Catarina;1;0;1;0;0;0;2001-2004;Sud;Breaks et monospaces;1107.0
630720;Male;46-55;Sergipe;3;0;1;0;0;1;2004-2007;Nord-Est;Berlines;783.3333333333334
662331;Corporate;46-55;Pernambuco;0;0;0;0;0;0;2007-2010;Nord-Est;Compactes;0.0
60883;Corporate;36-45;Goias;0;0;0;0;0;0;2010-2013;Centre-Ouest;Compactes;0.0
24745;Female;26-35;Rio de Janeiro;0;0;0;0;0;0;2004-2007;Sud-Est;Citadine;0.0
1471702;Male;36-45;Rio de Janeiro;0;0;0;0;0;0;2004-2007;Sud-Est;Véhicules tout-terrain;0.0
1339988;Corporate;>55;Sao Paulo;0;0;0;0;0;0;2004-2007;Sud-Est;Véhicules tout-terrain;0.0
920803;Male;26-35;Santa Catarina;0;0;0;0;0;0;2010-2013;Sud;Berlines;0.0
1542108;Male;18-25;Ceara;2;0;0;0;0;1;2007-2010;Nord-Est;Véhicules utilitaires sportifs;67.0
947194;Male;26-35;Parana;0;0;0;0;0;0;2007-2010;Sud;Breaks et monospaces;0.0
306477;Female;>55;Sao Paulo;1;0;0;0;0;1;2010-2013;Sud-Est;Compactes;67.0
377501;Female;36-45;Sao Paulo;0;0;0;0;0;0;1995-1998;Sud-Est;Compactes;0.0
986469;Female;>55;Sao Paulo;0;0;0;0;0;0;2010-2013;Sud-Est;Non classifié;0.0
1815281;Corporate;36-45;Rio Grande do Sul;0;0;0;0;0;0;1998-2001;Sud;Non classifié;0.0
1822500;Corporate;36-45;Sergipe;0;0;0;0;0;0;2007-2010;Nord-Est;Non classifié;0.0
684687;Female;>55;Rio Grande do Norte;0;0;0;0;0;0;2004-2007;Nord-Est;Citadine;0.0
1250921;Female;>55;Rio Grande do Sul;0;0;0;0;0;0;1998-2001;Sud;Véhicules utilitaires sportifs;0.0
655579;Female;26-35;Pernambuco;0;0;0;0;0;0;2010-2013;Nord-Est;Citadine;0.0
